Day,Average Temperature(Celcius) /Day,Minimum Temperature(Celcius) /Day,Maximum Temperature(Celcius) /Day,Daily Precipitation(mm) /Day,Maximum Snowfall(mm) /Day,Wind Direction(Degrees) /Day,Wind Speed(km/h) /Day,Atmospheric Pressure(hPa) /Day,Month,Year,Scheduled Arrival Hour,Scheduled Arrival Minute,Origin Airport_EWR,Origin Airport_IAD,Origin Airport_ORD,Status
12,19.6,13.8,25.5,0,0,222.0,23.4,1013.8,4,2023,10,0,0,0,1,On-Time
12,19.6,13.8,25.5,0,0,222.0,23.4,1013.8,4,2023,16,52,0,0,1,Early
12,19.6,13.8,25.5,0,0,222.0,23.4,1013.8,4,2023,21,34,0,0,1,On-Time
13,19.0,12.9,24.7,0,0,207.0,19.2,1010.8,4,2023,10,0,0,0,1,On-Time
13,19.0,12.9,24.7,0,0,207.0,19.2,1010.8,4,2023,16,50,0,0,1,On-Time
13,19.0,12.9,24.7,0,0,207.0,19.2,1010.8,4,2023,21,34,0,0,1,On-Time
14,17.7,13.1,23.4,0,0,181.0,15.5,1008.9,4,2023,10,0,0,0,1,On-Time
14,17.7,13.1,23.4,0,0,181.0,15.5,1008.9,4,2023,16,50,0,0,1,On-Time
14,17.7,13.1,23.4,0,0,181.0,15.5,1008.9,4,2023,21,34,0,0,1,On-Time
15,14.9,9.9,18.2,0,0,205.0,16.5,1009.8,4,2023,10,0,0,0,1,On-Time
15,14.9,9.9,18.2,0,0,205.0,16.5,1009.8,4,2023,16,50,0,0,1,On-Time
15,14.9,9.9,18.2,0,0,205.0,16.5,1009.8,4,2023,21,34,0,0,1,On-Time
12,19.0,12.1,26.7,0,0,193.0,21.7,1002.8,4,2023,15,12,0,0,0,On-Time
13,16.1,9.2,22.5,0,0,143.0,21.5,996.2,4,2023,15,12,0,0,0,On-Time
14,4.5,1.2,8.1,0,0,28.0,18.5,1007.6,4,2023,15,12,0,0,0,On-Time
15,3.1,-1.1,7.9,0,0,359.0,16.1,1019.9,4,2023,15,12,0,0,0,On-Time
12,20.5,15.8,26.8,0,0,265.0,21.4,1011.6,4,2023,10,46,1,0,0,On-Time
12,20.5,15.8,26.8,0,0,265.0,21.4,1011.6,4,2023,23,42,1,0,0,On-Time
13,22.4,16.4,29.6,0,0,250.0,15.7,1011.3,4,2023,10,46,1,0,0,On-Time
13,22.4,16.4,29.6,0,0,250.0,15.7,1011.3,4,2023,23,42,1,0,0,On-Time
14,21.9,17.2,27.8,0,0,224.0,13.2,1012.8,4,2023,10,46,1,0,0,On-Time
14,21.9,17.2,27.8,0,0,224.0,13.2,1012.8,4,2023,23,42,1,0,0,On-Time
15,19.1,16.8,21.7,0,0,174.0,12.2,1014.3,4,2023,10,46,1,0,0,On-Time
15,19.1,16.8,21.7,0,0,174.0,12.2,1014.3,4,2023,23,17,1,0,0,On-Time
12,19.2,12.7,27.0,0,0,262.0,12.1,1016.5,4,2023,13,57,0,1,0,On-Time
12,19.2,12.7,27.0,0,0,262.0,12.1,1016.5,4,2023,18,59,0,1,0,On-Time
13,20.9,14.1,28.7,0,0,231.0,8.9,1014.7,4,2023,13,57,0,1,0,On-Time
13,20.9,14.1,28.7,0,0,231.0,8.9,1014.7,4,2023,18,59,0,1,0,Early
14,20.7,15.2,28.0,0,0,185.0,11.3,1013.6,4,2023,13,57,0,1,0,On-Time
14,20.7,15.2,28.0,0,0,185.0,11.3,1013.6,4,2023,18,59,0,1,0,On-Time
15,20.3,16.8,24.1,0,0,183.0,10.2,1014.2,4,2023,13,58,0,1,0,On-Time
15,20.3,16.8,24.1,0,0,183.0,10.2,1014.2,4,2023,18,59,0,1,0,On-Time
